id,question
1,1人が困るとしても5人が助かるならその行動を選ぶ
2,友達を守るためでも嘘はつかない方がよい
3,どんな行動をするかよりどんな人間であるかが大事だと思う
4,多数の利益のためでも1人の権利を無視するのはよくない
5,知らない人よりもまず親しい人を優先して助ける
6,ルールはみんなが納得できる形で決めるべきだと思う
7,自分の意見よりも周りとの調和を優先することが多い
8,自分にとって得かどうかで行動を決めることが多い
9,誰かが少し損をしても全体として得なら問題ないと思う
10,約束はどんな理由があっても守るべきだと思う
11,正しい行動かどうかはその人の人柄に表れると思う
12,たとえ迷惑がかかっても自分の自由は大事だと思う
13,困っている人を見るとルールよりも助けたくなる
14,みんなが不公平だと感じない選択をしたいと思う
15,昔からのやり方や習慣は大切にしたい
16,自分が損をするなら無理に人を助けなくてもよいと思う
17,できるだけ多くの人が満足する選択をしたい
18,結果が良くてもルール違反はよくないと思う
19,どんな人間になりたいかを考えて行動することが多い
20,他人に迷惑をかける行為は避けるべきだと思う
21,家族や友人には特別に優しくすべきだと思う
22,自分だけ得をするよりみんなが納得する方を選びたい
23,周りの価値観や空気に合わせることは大切だと思う
24,自分にメリットがないなら行動しないこともある
25,全体としてうまくいくなら細かい犠牲は気にしない
26,感情よりもルールに従うべきだと思う
27,良い人であろうとすることが一番大事だと思う
28,自分の権利はしっかり主張するべきだと思う
29,相手の気持ちを考えて行動することを大事にしている
30,みんなが守ると決めたルールには従うべきだと思う
